team,championProb,qualifiedProb
Spain,0.1605,0.9845
Argentina,0.1535,0.976
Brazil,0.087,0.959
France,0.079,0.91
England,0.0565,0.939
Colombia,0.055,0.9185
Portugal,0.04,0.8665
Netherlands,0.034,0.8565
Morocco,0.0315,0.878
Iran,0.0295,0.8885
Japan,0.029,0.85
Senegal,0.0285,0.8465
South Korea,0.02,0.871
Germany,0.0195,0.931
Croatia,0.0175,0.872
Uruguay,0.0165,0.836
Mexico,0.016,0.819
Belgium,0.0155,0.8575
Ecuador,0.014,0.878
Australia,0.013,0.933
Italy,0.0125,0.571
Algeria,0.011,0.7415
Uzbekistan,0.0075,0.569
Canada,0.007,0.7915
Switzerland,0.006,0.84
Denmark,0.006,0.4065
Turkey,0.005,0.398
Paraguay,0.005,0.817
Egypt,0.0035,0.694
Ivory Coast,0.0035,0.7635
Ukraine,0.003,0.2255
Norway,0.002,0.5375
Tunisia,0.002,0.465
Poland,0.0015,0.1715
New Zealand,0.001,0.2655
Scotland,0.001,0.45
Haiti,0.001,0.321
Iraq,0.001,0.3475
South Africa,0.001,0.4255
Austria,0.001,0.463
Saudi Arabia,0.0005,0.4095
Panama,0.0005,0.5585
Jordan,0.0005,0.4295
Sweden,0.0005,0.082
Republic of Ireland,0.0005,0.1345
Bosnia and Herzegovina,0.0,0.0365
Albania,0.0,0.0355
DR Congo,0.0,0.2025
Kosovo,0.0,0.117
Jamaica,0.0,0.0925
Ghana,0.0,0.2615
Bolivia,0.0,0.0035
Cape Verde,0.0,0.335
Curaçao,0.0,0.146
Czechia,0.0,0.0265
New Caledonia,0.0,0.0115
Romania,0.0,0.12
Qatar,0.0,0.2985
North Macedonia,0.0,0.0215
Northern Ireland,0.0,0.023
Suriname,0.0,0.0165
Slovakia,0.0,0.158
USA,0.0,0.1995
Wales,0.0,0.1465
